instanța	cod	site	email	telefon	fax	program	adresa																		
Curtea de Apel ALBA IULIA	CurteadeApelALBAIULIA	http://portal.just.ro/57/SitePages/prezentare.aspx	ca-albaiulia@just.ro	0258.810.289 ; ARHIVA - 0258.810.293	0258.810.286	"REGISTRATURA
Zilnic de Luni-Vineri: 8,30 - 13,30
ARHIVA
Zilnic de Luni-Vineri: 9,00 - 14,00"	Alba Iulia, Str. I.C. Brătianu, Nr. 1																		
Curtea de Apel BACĂU	CurteadeApelBACAU	http://portal.just.ro/32/SitePages/prezentare.aspx	ca-bacau@just.ro	0234/513296; 0234/513678; 0234/514750; 0234/514396	0234/514.275	"Programul de lucru al Curţii de Apel Bacău este:
LUNI - VINERI:   8:00 - 16:00
Programul de lucru cu publicul al Compartimentului ARHIVĂ:
LUNI, MARŢI, MIERCURI şi VINERI:   9:00 - 13:00
JOI:   10:00 - 16:00"	Bacău, Str. Cuza Vodă nr. 1																		
Curtea de Apel BRAŞOV	CurteadeApelBRASOV	http://portal.just.ro/64/SitePages/prezentare.aspx	cabrasov@just.ro	0268 41 41 14 ; 0268 41 40 54 ; 0268 47 79 61 	0268 41.42.16	"Program cu publicul - registratura şi arhive: 
LUNI - VINERI  între orele 9 - 13"	Brasov,Bd. Eroilor Nr.5 Et. II-III 																		
Curtea de Apel BUCUREŞTI 	CurteadeApelBUCURESTI	http://www.cab1864.eu/	infocabuc@just.ro	021-319.51.80, 021-319.51.81, 021-319.51.83; Biroul de informare şi relaţii publice:tel./fax 021-319.16.74 	BIRP 3191674,Cabinet 3191649		Bucureşti, Splaiul Independenţei, nr. 5, sectorul 4 																		
Curtea de Apel CLUJ	CurteadeApelCLUJ	http://portal.just.ro/33/SitePages/prezentare.aspx, http://www.curteadeapelcluj.eu/index_27-02-2014.html	curtecj@just.ro, ca-cluj-reg@just.ro (numai pentru dosare)	Centrala +40-264.504.300; +40-264.504.301; +40-264.504.302; +40-264.504.303 Cabinetul preşedintelui: +40-264.593.865 Prim grefier: +40-264.504.333	Registratura Curţii: +40-264.50.43.13 (numai pentru dosare)	"Programul de lucru al instituţiei: Luni-Vineri 07.30-15.30 
Programul de lucru cu publicul al Registraturii (parter, camera 49), al Arhivei civile şi comerciale (parter, camera 46) şi al Arhivei penale (parter, camera 50): Luni - Vineri 09-13
Programul de lucru cu publicul al Biroului de informare şi relaţii publice (parter, camera 92): Luni-Vineri 07.30 – 15.30; Joi 07.30 – 16.30​"	Cluj-Napoca, P-ţa Ştefan cel Mare nr. 1, Cod poştal 400133, Judeţul Cluj																		
Curtea de Apel CONSTANŢA	CurteadeApelCONSTANTA	http://portal.just.ro/36/SitePages/prezentare.aspx	ca.constanta@just.ro	0241 / 606.591, 0241 / 606.597, 0241 / 606.572		"De Luni până Vineri între orele 08:00 – 16:00.
Arhivă-registratură:Luni, Marti, Miercuri, Vineri - între orele 9:00 – 13:00, Joi - între orele 11:00 – 15:00
"	Traian nr.35c,Cod poştal: 900743,Constanţa, Romania																		
Curtea de Apel CRAIOVA	CurteadeApelCRAIOVA	http://portal.just.ro/54/SitePages/prezentare.aspx	ca-craiova@just.ro	0351.403.100 (30 de linii), +40251418568	40251415600	"Programul de lucru al instituţiei: Luni-Vineri 07.30-15.30
Programul de lucru cu publicul al Registraturii, al Arhivei civile şi comerciale) şi al Arhivei penale : Luni – Vineri 09-13
Programul de lucru cu publicul al Biroului de informare şi relaţii publice: Luni-Vineri 07.30 – 15.30 ; Marţi 07.30 – 17.30
"	str. Constantin Brancusi, nr.5A, cod 200136, CRAIOVA, jud. Dolj																		
Curtea de Apel GALAŢI	CurteadeApelGALATI	http://portal.just.ro/44/SitePages/prezentare.aspx	cagalati@just.ro	0236/460027; Tel. purtator de cuvant: 0732147807	 0236/460227; 0236/460027;	"Programul de lucru al instanţei: Luni - Vineri: 7.30 – 15.30
Programul de lucru la arhivă este: 7.30 – 15.30;
Programul cu publicul al arhivei este: Luni - Vineri: 9.00 – 13.00;
Programul de lucru al Biroului de informare şi relaţii publice:
Punct de informare documentare
Luni: 10.30 – 18.30
Marţi - Vineri : 7.30 - 15.30
Program audienţe:
În fiecare zi de joi: 11.00 – 12.00
"	Str. Brăilei, Nr. 153, Cod poştal: 800319, Localitatea: Galaţi, Judeţul: Galaţi																		
Curtea de Apel IAŞI	CurteadeApelIASI	http://portal.just.ro/45/SitePages/prezentare.aspx	ca-iasi@just.ro	"arhiva/registratura:0232-260600
telefon/fax prim-grefier:0232-217808"	0232-255907	"Program de lucru al instanţei: luni - vineri intre orele 08.00 – 16.00
Program arhivă şi registratur: Luni - vineri: 9.00 – 13.00"	Iaşi, Str. Anastasie Panu nr. 25, Cod: 700024																		
Curtea de Apel ORADEA	CurteadeApelORADEA	http://portal.just.ro/35/SitePages/prezentare.aspx	publicCAO@just.ro	CENTRALĂ : 0259/426883 0259/426884 0359/41002 0359/410033	0259/415903	"Programul de lucru al instituţiei este: Luni-Vineri 08,00-16,00 ;
Programul de lucru cu publicul al Registraturii (etaj II, camera 43) şi al Arhivei (etaj II , camera 44) este: Luni, Marţi, Joi 08,30 - 12,30; Miercuri 08,30 - 15,30; Vineri 08,30 - 11,00
Programul de lucru al Arhivei (etaj II , camera 44) cu experţii este: Marţi 13,00 - 15,30;
Programul de lucru cu publicul al Biroului de informare şi relaţii publice (etaj II, camera 38) este: Luni 08,30 – 12,30 şi 16,00 - 17,00 ;Marţi, Miercuri, Joi 08,30 – 12,30 ;Vineri 8,30 - 11,30 "	Strada  Roman Ciorogariu nr.12, Localitatea Oradea, judeţul Bihor 																		
